"site","year","TRT","class","count","clickr","site_year","tier1","tier2","tier3"
"103","1409","RAN","A. acuminata",2,"CA","103_1409","calcifying","hard.coral","A.acuminata"
"107","1409","XSP","A. acuminata",3,"CA","107_1409","calcifying","hard.coral","A.acuminata"
"109","1409","RAN","A. acuminata",3,"CA","109_1409","calcifying","hard.coral","A.acuminata"
"113","1409","XSP","A. acuminata",1,"CA","113_1409","calcifying","hard.coral","A.acuminata"
"115","1409","BYSP","A. acuminata",4,"CA","115_1409","calcifying","hard.coral","A.acuminata"
"117","1409","RAN","A. acuminata",2,"CA","117_1409","calcifying","hard.coral","A.acuminata"
"123","1409","XSP","A. acuminata",1,"CA","123_1409","calcifying","hard.coral","A.acuminata"
"103","1509","RAN","A. acuminata",1,"CA","103_1509","calcifying","hard.coral","A.acuminata"
"105","1509","BYSP","A. acuminata",3,"CA","105_1509","calcifying","hard.coral","A.acuminata"
"107","1509","XSP","A. acuminata",7,"CA","107_1509","calcifying","hard.coral","A.acuminata"
"109","1509","RAN","A. acuminata",7,"CA","109_1509","calcifying","hard.coral","A.acuminata"
"113","1509","XSP","A. acuminata",4,"CA","113_1509","calcifying","hard.coral","A.acuminata"
"115","1509","BYSP","A. acuminata",7,"CA","115_1509","calcifying","hard.coral","A.acuminata"
"117","1509","RAN","A. acuminata",3,"CA","117_1509","calcifying","hard.coral","A.acuminata"
"123","1509","XSP","A. acuminata",6,"CA","123_1509","calcifying","hard.coral","A.acuminata"
"127","1509","BYSP","A. acuminata",5,"CA","127_1509","calcifying","hard.coral","A.acuminata"
"103","1510","RAN","A. acuminata",2,"CA","103_1510","calcifying","hard.coral","A.acuminata"
"105","1510","BYSP","A. acuminata",4,"CA","105_1510","calcifying","hard.coral","A.acuminata"
"107","1510","XSP","A. acuminata",5,"CA","107_1510","calcifying","hard.coral","A.acuminata"
"109","1510","RAN","A. acuminata",7,"CA","109_1510","calcifying","hard.coral","A.acuminata"
"113","1510","XSP","A. acuminata",7,"CA","113_1510","calcifying","hard.coral","A.acuminata"
"115","1510","BYSP","A. acuminata",6,"CA","115_1510","calcifying","hard.coral","A.acuminata"
"117","1510","RAN","A. acuminata",6,"CA","117_1510","calcifying","hard.coral","A.acuminata"
"123","1510","XSP","A. acuminata",9,"CA","123_1510","calcifying","hard.coral","A.acuminata"
"127","1510","BYSP","A. acuminata",2,"CA","127_1510","calcifying","hard.coral","A.acuminata"
"103","1606","RAN","A. acuminata",3,"CA","103_1606","calcifying","hard.coral","A.acuminata"
"105","1606","BYSP","A. acuminata",7,"CA","105_1606","calcifying","hard.coral","A.acuminata"
"107","1606","XSP","A. acuminata",9,"CA","107_1606","calcifying","hard.coral","A.acuminata"
"109","1606","RAN","A. acuminata",9,"CA","109_1606","calcifying","hard.coral","A.acuminata"
