"site","year","TRT","class","count","clickr","site_year","percent","tier1","tier2","tier3"
"103","1409","RAN","A. acuminata",2,"CA","103_1409",0.869565217391304,"calcifying","hard.coral","A.acuminata"
"107","1409","XSP","A. acuminata",3,"CA","107_1409",1.12781954887218,"calcifying","hard.coral","A.acuminata"
"109","1409","RAN","A. acuminata",3,"CA","109_1409",1.21951219512195,"calcifying","hard.coral","A.acuminata"
"113","1409","XSP","A. acuminata",1,"CA","113_1409",0.383141762452107,"calcifying","hard.coral","A.acuminata"
"115","1409","BYSP","A. acuminata",4,"CA","115_1409",1.53256704980843,"calcifying","hard.coral","A.acuminata"
"117","1409","RAN","A. acuminata",2,"CA","117_1409",0.775193798449612,"calcifying","hard.coral","A.acuminata"
"123","1409","XSP","A. acuminata",1,"CA","123_1409",0.386100386100386,"calcifying","hard.coral","A.acuminata"
"103","1509","RAN","A. acuminata",1,"CA","103_1509",0.32258064516129,"calcifying","hard.coral","A.acuminata"
"105","1509","BYSP","A. acuminata",3,"CA","105_1509",1.01010101010101,"calcifying","hard.coral","A.acuminata"
"107","1509","XSP","A. acuminata",7,"CA","107_1509",2.33333333333333,"calcifying","hard.coral","A.acuminata"
"109","1509","RAN","A. acuminata",7,"CA","109_1509",2.25806451612903,"calcifying","hard.coral","A.acuminata"
"113","1509","XSP","A. acuminata",4,"CA","113_1509",1.29449838187702,"calcifying","hard.coral","A.acuminata"
"115","1509","BYSP","A. acuminata",7,"CA","115_1509",2.46478873239437,"calcifying","hard.coral","A.acuminata"
"117","1509","RAN","A. acuminata",3,"CA","117_1509",1.04166666666667,"calcifying","hard.coral","A.acuminata"
"123","1509","XSP","A. acuminata",6,"CA","123_1509",2.02702702702703,"calcifying","hard.coral","A.acuminata"
"127","1509","BYSP","A. acuminata",5,"CA","127_1509",1.59744408945687,"calcifying","hard.coral","A.acuminata"
"103","1510","RAN","A. acuminata",2,"CA","103_1510",0.645161290322581,"calcifying","hard.coral","A.acuminata"
"105","1510","BYSP","A. acuminata",4,"CA","105_1510",1.36518771331058,"calcifying","hard.coral","A.acuminata"
"107","1510","XSP","A. acuminata",5,"CA","107_1510",1.68350168350168,"calcifying","hard.coral","A.acuminata"
"109","1510","RAN","A. acuminata",7,"CA","109_1510",2.29508196721311,"calcifying","hard.coral","A.acuminata"
"113","1510","XSP","A. acuminata",7,"CA","113_1510",2.33333333333333,"calcifying","hard.coral","A.acuminata"
"115","1510","BYSP","A. acuminata",6,"CA","115_1510",1.88679245283019,"calcifying","hard.coral","A.acuminata"
"117","1510","RAN","A. acuminata",6,"CA","117_1510",2.02702702702703,"calcifying","hard.coral","A.acuminata"
"123","1510","XSP","A. acuminata",9,"CA","123_1510",3.01003344481605,"calcifying","hard.coral","A.acuminata"
"127","1510","BYSP","A. acuminata",2,"CA","127_1510",0.647249190938511,"calcifying","hard.coral","A.acuminata"
"103","1606","RAN","A. acuminata",3,"CA","103_1606",0.958466453674121,"calcifying","hard.coral","A.acuminata"
"105","1606","BYSP","A. acuminata",7,"CA","105_1606",2.3489932885906,"calcifying","hard.coral","A.acuminata"
"107","1606","XSP","A. acuminata",9,"CA","107_1606",2.98013245033113,"calcifying","hard.coral","A.acuminata"
"109","1606","RAN","A. acuminata",9,"CA","109_1606",2.86624203821656,"calcifying","hard.coral","A.acuminata"
"113","1606","XSP","A. acuminata",9,"CA","113_1606",2.95081967213115,"calcifying","hard.coral","A.acuminata"
"115","1606","BYSP","A. acuminata",5,"CA","115_1606",1.78571428571429,"calcifying","hard.coral","A.acuminata"
"117","1606","RAN","A. acuminata",8,"CA","117_1606",2.75862068965517,"calcifying","hard.coral","A.acuminata"
"123","1606","XSP","A. acuminata",8,"CA","123_1606",2.75862068965517,"calcifying","hard.coral","A.acuminata"
"127","1606","BYSP","A. acuminata",6,"CA","127_1606",1.99335548172757,"calcifying","hard.coral","A.acuminata"
"103","1609","RAN","A. acuminata",5,"CA","103_1609",1.59744408945687,"calcifying","hard.coral","A.acuminata"
"105","1609","BYSP","A. acuminata",8,"CA","105_1609",2.71186440677966,"calcifying","hard.coral","A.acuminata"
"107","1609","XSP","A. acuminata",10,"CA","107_1609",3.36700336700337,"calcifying","hard.coral","A.acuminata"
"109","1609","RAN","A. acuminata",10,"CA","109_1609",3.17460317460317,"calcifying","hard.coral","A.acuminata"
"113","1609","XSP","A. acuminata",6,"CA","113_1609",2.02020202020202,"calcifying","hard.coral","A.acuminata"
"115","1609","BYSP","A. acuminata",7,"CA","115_1609",2.45614035087719,"calcifying","hard.coral","A.acuminata"
"117","1609","RAN","A. acuminata",10,"CA","117_1609",3.37837837837838,"calcifying","hard.coral","A.acuminata"
"123","1609","XSP","A. acuminata",11,"CA","123_1609",3.69127516778524,"calcifying","hard.coral","A.acuminata"
"127","1609","BYSP","A. acuminata",3,"CA","127_1609",1.01010101010101,"calcifying","hard.coral","A.acuminata"
"103","1709","RAN","A. acuminata",8,"CA","103_1709",2.64900662251656,"calcifying","hard.coral","A.acuminata"
"105","1709","BYSP","A. acuminata",19,"CA","105_1709",6.64335664335664,"calcifying","hard.coral","A.acuminata"
"107","1709","XSP","A. acuminata",33,"CA","107_1709",10.2167182662539,"calcifying","hard.coral","A.acuminata"
"109","1709","RAN","A. acuminata",19,"CA","109_1709",5.95611285266458,"calcifying","hard.coral","A.acuminata"
"113","1709","XSP","A. acuminata",21,"CA","113_1709",6.88524590163934,"calcifying","hard.coral","A.acuminata"
"115","1709","BYSP","A. acuminata",17,"CA","115_1709",6.00706713780919,"calcifying","hard.coral","A.acuminata"
"117","1709","RAN","A. acuminata",11,"CA","117_1709",3.71621621621622,"calcifying","hard.coral","A.acuminata"
"123","1709","XSP","A. acuminata",25,"CA","123_1709",8.36120401337793,"calcifying","hard.coral","A.acuminata"
"127","1709","BYSP","A. acuminata",10,"CA","127_1709",3.33333333333333,"calcifying","hard.coral","A.acuminata"
"103","1809","RAN","A. acuminata",23,"CA","103_1809",7.59075907590759,"calcifying","hard.coral","A.acuminata"
"105","1809","BYSP","A. acuminata",31,"CA","105_1809",10.8391608391608,"calcifying","hard.coral","A.acuminata"
"107","1809","XSP","A. acuminata",40,"CA","107_1809",13.6518771331058,"calcifying","hard.coral","A.acuminata"
"109","1809","RAN","A. acuminata",29,"CA","109_1809",9.26517571884984,"calcifying","hard.coral","A.acuminata"
"113","1809","XSP","A. acuminata",27,"CA","113_1809",8.91089108910891,"calcifying","hard.coral","A.acuminata"
"115","1809","BYSP","A. acuminata",29,"CA","115_1809",9.41558441558442,"calcifying","hard.coral","A.acuminata"
"117","1809","RAN","A. acuminata",15,"CA","117_1809",4.95049504950495,"calcifying","hard.coral","A.acuminata"
"123","1809","XSP","A. acuminata",37,"CA","123_1809",12.6279863481229,"calcifying","hard.coral","A.acuminata"
"127","1809","BYSP","A. acuminata",18,"CA","127_1809",6.33802816901408,"calcifying","hard.coral","A.acuminata"
"101","1509","REM","Caulerpa",13,"CA","101_1509",4.11392405063291,"noncalcifying","other.noncalcifying","other.noncalcifying"
"103","1509","RAN","Caulerpa",11,"CA","103_1509",3.54838709677419,"noncalcifying","other.noncalcifying","other.noncalcifying"
"105","1509","BYSP","Caulerpa",15,"CA","105_1509",5.05050505050505,"noncalcifying","other.noncalcifying","other.noncalcifying"
"107","1509","XSP","Caulerpa",9,"CA","107_1509",3,"noncalcifying","other.noncalcifying","other.noncalcifying"
"109","1509","RAN","Caulerpa",5,"CA","109_1509",1.61290322580645,"noncalcifying","other.noncalcifying","other.noncalcifying"
"111","1509","REM","Caulerpa",14,"CA","111_1509",4.51612903225806,"noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1509","XSP","Caulerpa",6,"CA","113_1509",1.94174757281553,"noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1509","BYSP","Caulerpa",5,"CA","115_1509",1.76056338028169,"noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1509","RAN","Caulerpa",11,"CA","117_1509",3.81944444444444,"noncalcifying","other.noncalcifying","other.noncalcifying"
"119","1509","CON","Caulerpa",1,"CA","119_1509",0.315457413249211,"noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1509","CON","Caulerpa",1,"CA","121_1509",0.318471337579618,"noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1509","XSP","Caulerpa",5,"CA","123_1509",1.68918918918919,"noncalcifying","other.noncalcifying","other.noncalcifying"
"127","1509","BYSP","Caulerpa",6,"CA","127_1509",1.91693290734824,"noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1509","REM","Caulerpa",3,"CA","129_1509",1.03092783505155,"noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1510","REM","Caulerpa",8,"CA","101_1510",2.69360269360269,"noncalcifying","other.noncalcifying","other.noncalcifying"
"103","1510","RAN","Caulerpa",7,"CA","103_1510",2.25806451612903,"noncalcifying","other.noncalcifying","other.noncalcifying"
"105","1510","BYSP","Caulerpa",15,"CA","105_1510",5.11945392491468,"noncalcifying","other.noncalcifying","other.noncalcifying"
"107","1510","XSP","Caulerpa",5,"CA","107_1510",1.68350168350168,"noncalcifying","other.noncalcifying","other.noncalcifying"
"109","1510","RAN","Caulerpa",10,"CA","109_1510",3.27868852459016,"noncalcifying","other.noncalcifying","other.noncalcifying"
"111","1510","REM","Caulerpa",12,"CA","111_1510",3.87096774193548,"noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1510","XSP","Caulerpa",8,"CA","113_1510",2.66666666666667,"noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1510","BYSP","Caulerpa",2,"CA","115_1510",0.628930817610063,"noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1510","RAN","Caulerpa",10,"CA","117_1510",3.37837837837838,"noncalcifying","other.noncalcifying","other.noncalcifying"
"119","1510","CON","Caulerpa",1,"CA","119_1510",0.315457413249211,"noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1510","CON","Caulerpa",1,"CA","121_1510",0.318471337579618,"noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1510","XSP","Caulerpa",3,"CA","123_1510",1.00334448160535,"noncalcifying","other.noncalcifying","other.noncalcifying"
