,site,Label,count,percent
1,101-102,Caulerpa,12,2.857142857
2,101-102,CCA,168,40
3,101-102,Corallimorph,6,1.428571429
4,101-102,Galaxaura,1,0.238095238
5,101-102,Halimeda,1,0.238095238
6,101-102,Lobophora variegata,29,6.904761905
7,101-102,Monti_crust,3,0.714285714
8,101-102,Peyssonnelia,33,7.857142857
9,101-102,Pocillopora damicornis,19,4.523809524
10,101-102,Review,2,0.476190476
11,101-102,Turf,146,34.76190476
12,103-104,Acro_branch,38,11.34328358
13,103-104,Caulerpa,7,2.089552239
14,103-104,CCA,89,26.56716418
15,103-104,CCA_sick,1,0.298507463
16,103-104,Corallimorph,1,0.298507463
17,103-104,Lobophora variegata,18,5.373134328
18,103-104,Montipora capitata branching,2,0.597014925
19,103-104,Montipora capitata encrusting,4,1.194029851
20,103-104,Peyssonnelia,16,4.776119403
21,103-104,Pocillopora damicornis,8,2.388059701
22,103-104,Turf,151,45.07462687
23,105-106,Acro_branch,52,16.19937695
24,105-106,Brillo spike pad,1,0.31152648
25,105-106,Caulerpa,5,1.557632399
26,105-106,CCA,85,26.47975078
27,105-106,CCA_sick,10,3.115264798
28,105-106,Lobophora variegata,1,0.31152648
29,105-106,Montipora capitata branching,11,3.426791277
30,105-106,Montipora capitata encrusting,3,0.934579439
31,105-106,Peyssonnelia,18,5.607476636
32,105-106,Pocillopora damicornis,5,1.557632399
33,105-106,Review,1,0.31152648
34,105-106,Turf,129,40.18691589
35,107-108,Acro_branch,69,21.42857143
36,107-108,Caulerpa,1,0.310559006
37,107-108,CCA,84,26.08695652
38,107-108,CCA_sick,4,1.242236025
39,107-108,Corallimorph,4,1.242236025
40,107-108,Lobophora variegata,9,2.795031056
41,107-108,Montipora capitata branching,3,0.931677019
42,107-108,Peyssonnelia,7,2.173913043
43,107-108,Pocillopora damicornis,21,6.52173913
44,107-108,Pocillopora meandrina/verrucosa,1,0.310559006
45,107-108,Pocillopora spp.,1,0.310559006
46,107-108,Review,1,0.310559006
47,107-108,Turf,117,36.33540373
48,109-110,Acro_branch,53,16.66666667
49,109-110,Caulerpa,8,2.51572327
50,109-110,CCA,80,25.1572327
51,109-110,CCA_sick,2,0.628930818
52,109-110,Corallimorph,1,0.314465409
53,109-110,Lobophora variegata,7,2.201257862
54,109-110,Montipora capitata encrusting,1,0.314465409
55,109-110,Peyssonnelia,16,5.031446541
56,109-110,Pocillopora damicornis,7,2.201257862
57,109-110,Pocillopora spp.,4,1.257861635
58,109-110,Review,1,0.314465409
59,109-110,Turf,138,43.39622642
60,111-112,Caulerpa,1,0.35335689
61,111-112,CCA,112,39.57597173
62,111-112,CCA_sick,6,2.120141343
63,111-112,Corallimorph,5,1.766784452
64,111-112,Galaxaura,2,0.706713781
65,111-112,Halimeda,1,0.35335689
66,111-112,Lobophora variegata,44,15.54770318
67,111-112,Peyssonnelia,29,10.24734982
68,111-112,Pocillopora damicornis,3,1.060070671
69,111-112,Turf,79,27.91519435
70,111-112,Unk_soft_coral,1,0.35335689
71,113-114,Acro_branch,36,11.28526646
72,113-114,Caulerpa,6,1.880877743
73,113-114,CCA,117,36.67711599
74,113-114,CCA_rubble,1,0.313479624
75,113-114,CCA_sick,5,1.567398119
76,113-114,Galaxaura,1,0.313479624
77,113-114,Lobophora variegata,5,1.567398119
78,113-114,Monti_crust,1,0.313479624
79,113-114,Montipora capitata branching,1,0.313479624
80,113-114,Montipora capitata encrusting,3,0.940438871
81,113-114,Peyssonnelia,22,6.896551724
82,113-114,Pocillopora damicornis,10,3.134796238
83,113-114,Pocillopora spp.,1,0.313479624
84,113-114,Review,1,0.313479624
85,113-114,Turf,109,34.169279
86,115-116,Acro_branch,39,13.44827586
87,115-116,Caulerpa,3,1.034482759
88,115-116,CCA,90,31.03448276
89,115-116,CCA_sick,6,2.068965517
90,115-116,Lobophora variegata,5,1.724137931
91,115-116,Montipora capitata encrusting,5,1.724137931
92,115-116,Peyssonnelia,9,3.103448276
93,115-116,Pocillopora damicornis,11,3.793103448
94,115-116,Pocillopora spp.,1,0.344827586
95,115-116,Review,2,0.689655172
96,115-116,Turf,119,41.03448276
97,117-118,Acro_branch,24,9.6
98,117-118,Caulerpa,6,2.4
99,117-118,CCA,96,38.4
100,117-118,CCA_sick,1,0.4
101,117-118,Corallimorph,1,0.4
102,117-118,Lobophora variegata,1,0.4
103,117-118,Montipora capitata encrusting,6,2.4
104,117-118,Montipora capitata foliose,1,0.4
105,117-118,Peyssonnelia,24,9.6
106,117-118,Pocillopora damicornis,6,2.4
107,117-118,Pocillopora spp.,1,0.4
108,117-118,Review,2,0.8
109,117-118,Turf,81,32.4
110,119-120,Caulerpa,14,3.482587065
111,119-120,CCA,107,26.61691542
112,119-120,CCA_sick,6,1.492537313
113,119-120,Corallimorph,1,0.248756219
114,119-120,Galaxaura,1,0.248756219
115,119-120,Halimeda,1,0.248756219
116,119-120,Lobophora variegata,19,4.726368159
117,119-120,Peyssonnelia,15,3.731343284
118,119-120,Pocillopora damicornis,1,0.248756219
119,119-120,Pocillopora spp.,6,1.492537313
120,119-120,Porites spp_massive,14,3.482587065
121,119-120,Review,2,0.497512438
122,119-120,Turf,215,53.48258706
123,121-122,Caulerpa,6,1.954397394
124,121-122,CCA,134,43.64820847
125,121-122,CCA_sick,5,1.628664495
126,121-122,Lobophora variegata,22,7.166123779
127,121-122,Peyssonnelia,14,4.560260586
128,121-122,Pocillopora damicornis,2,0.651465798
129,121-122,Pocillopora spp.,1,0.325732899
130,121-122,Review,1,0.325732899
131,121-122,Turf,122,39.73941368
132,123-124,Acro_branch,52,18.18181818
133,123-124,Caulerpa,8,2.797202797
134,123-124,CCA,19,6.643356643
135,123-124,CCA_sick,3,1.048951049
136,123-124,Corallimorph,1,0.34965035
137,123-124,Lobophora variegata,16,5.594405594
138,123-124,Monti_foliose,1,0.34965035
139,123-124,Montipora capitata branching,2,0.699300699
140,123-124,Montipora capitata encrusting,2,0.699300699
141,123-124,Peyssonnelia,2,0.699300699
142,123-124,Pocillopora damicornis,4,1.398601399
143,123-124,Pocillopora spp.,2,0.699300699
144,123-124,Red_calc_mac,2,0.699300699
145,123-124,Review,1,0.34965035
146,123-124,Turf,171,59.79020979
147,125-126,Caulerpa,3,0.949367089
148,125-126,CCA,135,42.72151899
149,125-126,CCA_sick,5,1.582278481
150,125-126,Corallimorph,1,0.316455696
151,125-126,Fungia,2,0.632911392
152,125-126,Lobophora variegata,23,7.278481013
153,125-126,Peyssonnelia,31,9.810126582
154,125-126,Pocillopora damicornis,1,0.316455696
155,125-126,Pocillopora spp.,2,0.632911392
156,125-126,Red_calc_mac,4,1.265822785
157,125-126,Turf,109,34.49367089
158,127-128,Acro_branch,25,8.169934641
159,127-128,Caulerpa,6,1.960784314
160,127-128,CCA,117,38.23529412
