"","site","year","class","count","TRT","percent"
"1","101","1408","CCA",2,"REM",0.00746268656716418
"2","101","1408","Corallimorph",198,"REM",0.738805970149254
"3","101","1408","Halimeda",1,"REM",0.00373134328358209
"4","101","1408","Limestone",3,"REM",0.0111940298507463
"5","101","1408","Peyssonnelia",14,"REM",0.0522388059701493
"6","101","1408","Sediment",1,"REM",0.00373134328358209
"7","101","1408","Turf",49,"REM",0.182835820895522
"8","101","1409","Corallimorph",1,"REM",0.00392156862745098
"9","101","1409","Halimeda",1,"REM",0.00392156862745098
"10","101","1409","Limestone",238,"REM",0.933333333333333
"11","101","1409","M. capitata",1,"REM",0.00392156862745098
"12","101","1409","Peyssonnelia",13,"REM",0.0509803921568627
"13","101","1409","Turf",1,"REM",0.00392156862745098
"14","101","1509","CCA",63,"REM",0.199367088607595
"15","101","1509","Caulerpa",13,"REM",0.0411392405063291
"16","101","1509","Corallimorph",7,"REM",0.0221518987341772
"17","101","1509","Limestone",17,"REM",0.0537974683544304
"18","101","1509","Lobophora",4,"REM",0.0126582278481013
"19","101","1509","Montipora spp.",2,"REM",0.00632911392405063
"20","101","1509","Peyssonnelia",4,"REM",0.0126582278481013
"21","101","1509","Red_calc_mac",5,"REM",0.0158227848101266
"22","101","1509","Sediment",3,"REM",0.00949367088607595
"23","101","1509","Turf",198,"REM",0.626582278481013
"24","101","1510","CCA",59,"REM",0.198653198653199
"25","101","1510","Caulerpa",8,"REM",0.0269360269360269
"26","101","1510","Corallimorph",1,"REM",0.00336700336700337
"27","101","1510","Limestone",4,"REM",0.0134680134680135
"28","101","1510","Lobophora",1,"REM",0.00336700336700337
"29","101","1510","Peyssonnelia",2,"REM",0.00673400673400673
"30","101","1510","Turf",222,"REM",0.747474747474748
"31","101","1606","CCA",39,"REM",0.13265306122449
"32","101","1606","Caulerpa",4,"REM",0.0136054421768707
"33","101","1606","Corallimorph",1,"REM",0.00340136054421769
"34","101","1606","Lobophora",3,"REM",0.0102040816326531
"35","101","1606","Peyssonnelia",5,"REM",0.0170068027210884
"36","101","1606","Red_calc_mac",5,"REM",0.0170068027210884
"37","101","1606","Sediment",3,"REM",0.0102040816326531
"38","101","1606","Turf",234,"REM",0.795918367346939
"39","101","1609","CCA",39,"REM",0.13
"40","101","1609","Caulerpa",1,"REM",0.00333333333333333
"41","101","1609","Corallimorph",1,"REM",0.00333333333333333
"42","101","1609","Cyano",1,"REM",0.00333333333333333
"43","101","1609","Galaxaura",1,"REM",0.00333333333333333
"44","101","1609","Lobophora",1,"REM",0.00333333333333333
"45","101","1609","Montipora spp.",2,"REM",0.00666666666666667
"46","101","1609","Peyssonnelia",13,"REM",0.0433333333333333
"47","101","1609","Red_calc_mac",3,"REM",0.01
"48","101","1609","Sediment",1,"REM",0.00333333333333333
"49","101","1609","Turf",237,"REM",0.79
"50","101","1709","CCA",148,"REM",0.505119453924915
"51","101","1709","Corallimorph",1,"REM",0.00341296928327645
"52","101","1709","Limestone",7,"REM",0.0238907849829352
"53","101","1709","Lobophora",7,"REM",0.0238907849829352
"54","101","1709","Montipora spp.",1,"REM",0.00341296928327645
"55","101","1709","P. damicornis",2,"REM",0.0068259385665529
"56","101","1709","Peyssonnelia",20,"REM",0.068259385665529
"57","101","1709","Turf",107,"REM",0.36518771331058
"58","101","1809","CCA",80,"REM",0.268456375838926
"59","101","1809","Corallimorph",5,"REM",0.0167785234899329
"60","101","1809","Montipora spp.",1,"REM",0.00335570469798658
"61","101","1809","P. damicornis",10,"REM",0.0335570469798658
"62","101","1809","Peyssonnelia",8,"REM",0.0268456375838926
"63","101","1809","Sediment",4,"REM",0.0134228187919463
"64","101","1809","Turf",190,"REM",0.63758389261745
"65","101","2019","CCA",168,"REM",0.401913875598086
"66","101","2019","Caulerpa",12,"REM",0.0287081339712919
"67","101","2019","Corallimorph",6,"REM",0.0143540669856459
"68","101","2019","Galaxaura",1,"REM",0.00239234449760766
"69","101","2019","Halimeda",1,"REM",0.00239234449760766
"70","101","2019","Lobophora",29,"REM",0.069377990430622
"71","101","2019","Montipora spp.",3,"REM",0.00717703349282297
"72","101","2019","P. damicornis",19,"REM",0.0454545454545455
"73","101","2019","Peyssonnelia",33,"REM",0.0789473684210526
"74","101","2019","Turf",146,"REM",0.349282296650718
"75","101","2021","CCA",152,"REM",0.380952380952381
"76","101","2021","Corallimorph",3,"REM",0.0075187969924812
"77","101","2021","Galaxaura",3,"REM",0.0075187969924812
"78","101","2021","Halimeda",1,"REM",0.0025062656641604
"79","101","2021","Lobophora",32,"REM",0.0802005012531328
"80","101","2021","M. capitata",2,"REM",0.0050125313283208
"81","101","2021","Montipora spp.",2,"REM",0.0050125313283208
"82","101","2021","P. damicornis",34,"REM",0.0852130325814536
"83","101","2021","Peyssonnelia",41,"REM",0.102756892230576
"84","101","2021","Sediment",2,"REM",0.0050125313283208
"85","101","2021","Turf",127,"REM",0.318295739348371
"86","103","1408","CCA",13,"RAN",0.0616113744075829
"87","103","1408","Corallimorph",122,"RAN",0.578199052132701
"88","103","1408","Peyssonnelia",13,"RAN",0.0616113744075829
"89","103","1408","Turf",63,"RAN",0.298578199052133
"90","103","1409","A. acuminata",2,"RAN",0.00869565217391304
"91","103","1409","Limestone",221,"RAN",0.960869565217391
"92","103","1409","Peyssonnelia",7,"RAN",0.0304347826086957
"93","103","1509","A. acuminata",1,"RAN",0.0032258064516129
"94","103","1509","CCA",43,"RAN",0.138709677419355
"95","103","1509","Caulerpa",11,"RAN",0.0354838709677419
"96","103","1509","Corallimorph",8,"RAN",0.0258064516129032
"97","103","1509","Galaxaura",3,"RAN",0.00967741935483871
"98","103","1509","M. capitata",1,"RAN",0.0032258064516129
"99","103","1509","P. damicornis",1,"RAN",0.0032258064516129
"100","103","1509","Peyssonnelia",17,"RAN",0.0548387096774194
"101","103","1509","Red_calc_mac",1,"RAN",0.0032258064516129
"102","103","1509","Sediment",2,"RAN",0.00645161290322581
"103","103","1509","Turf",222,"RAN",0.716129032258065
"104","103","1510","A. acuminata",2,"RAN",0.00645161290322581
"105","103","1510","CCA",17,"RAN",0.0548387096774194
"106","103","1510","Caulerpa",7,"RAN",0.0225806451612903
"107","103","1510","Corallimorph",1,"RAN",0.0032258064516129
"108","103","1510","Limestone",1,"RAN",0.0032258064516129
"109","103","1510","Lobophora",1,"RAN",0.0032258064516129
"110","103","1510","P. damicornis",1,"RAN",0.0032258064516129
"111","103","1510","Peyssonnelia",5,"RAN",0.0161290322580645
"112","103","1510","Red_calc_mac",2,"RAN",0.00645161290322581
"113","103","1510","Sediment",4,"RAN",0.0129032258064516
"114","103","1510","Turf",269,"RAN",0.867741935483871
"115","103","1606","A. acuminata",3,"RAN",0.00958466453674121
"116","103","1606","CCA",11,"RAN",0.0351437699680511
"117","103","1606","Corallimorph",1,"RAN",0.00319488817891374
"118","103","1606","M. capitata",3,"RAN",0.00958466453674121
"119","103","1606","P. damicornis",2,"RAN",0.00638977635782748
"120","103","1606","Peyssonnelia",8,"RAN",0.0255591054313099
"121","103","1606","Red_calc_mac",7,"RAN",0.0223642172523962
"122","103","1606","Sediment",5,"RAN",0.0159744408945687
"123","103","1606","Turf",273,"RAN",0.87220447284345
"124","103","1609","A. acuminata",5,"RAN",0.0159744408945687
"125","103","1609","CCA",10,"RAN",0.0319488817891374
"126","103","1609","Corallimorph",1,"RAN",0.00319488817891374
"127","103","1609","Galaxaura",1,"RAN",0.00319488817891374
"128","103","1609","Lobophora",1,"RAN",0.00319488817891374
"129","103","1609","M. capitata",1,"RAN",0.00319488817891374
"130","103","1609","P. damicornis",2,"RAN",0.00638977635782748
"131","103","1609","Red_calc_mac",7,"RAN",0.0223642172523962
"132","103","1609","Turf",285,"RAN",0.910543130990415
"133","103","1709","A. acuminata",8,"RAN",0.0264900662251656
"134","103","1709","CCA",60,"RAN",0.198675496688742
"135","103","1709","Corallimorph",1,"RAN",0.0033112582781457
"136","103","1709","Galaxaura",6,"RAN",0.0198675496688742
"137","103","1709","Lobophora",3,"RAN",0.00993377483443709
"138","103","1709","M. capitata",4,"RAN",0.0132450331125828
"139","103","1709","P. damicornis",2,"RAN",0.00662251655629139
"140","103","1709","Peyssonnelia",58,"RAN",0.19205298013245
"141","103","1709","Psammocora spp.",1,"RAN",0.0033112582781457
"142","103","1709","Sediment",2,"RAN",0.00662251655629139
"143","103","1709","Turf",157,"RAN",0.519867549668874
"144","103","1809","A. acuminata",23,"RAN",0.0759075907590759
"145","103","1809","CCA",75,"RAN",0.247524752475248
"146","103","1809","Caulerpa",1,"RAN",0.0033003300330033
"147","103","1809","Hydnophora",1,"RAN",0.0033003300330033
"148","103","1809","M. capitata",4,"RAN",0.0132013201320132
"149","103","1809","P. damicornis",6,"RAN",0.0198019801980198
"150","103","1809","Peyssonnelia",15,"RAN",0.0495049504950495
"151","103","1809","Psammocora spp.",1,"RAN",0.0033003300330033
"152","103","1809","Turf",177,"RAN",0.584158415841584
"153","103","2019","A. acuminata",38,"RAN",0.113432835820896
"154","103","2019","CCA",90,"RAN",0.26865671641791
"155","103","2019","Caulerpa",7,"RAN",0.0208955223880597
"156","103","2019","Corallimorph",1,"RAN",0.00298507462686567
"157","103","2019","Lobophora",18,"RAN",0.0537313432835821
"158","103","2019","M. capitata",6,"RAN",0.017910447761194
"159","103","2019","P. damicornis",8,"RAN",0.0238805970149254
"160","103","2019","Peyssonnelia",16,"RAN",0.0477611940298507
"161","103","2019","Turf",151,"RAN",0.450746268656716
"162","103","2020","A. acuminata",57,"RAN",0.129545454545455
"163","103","2020","CCA",116,"RAN",0.263636363636364
"164","103","2020","Corallimorph",4,"RAN",0.00909090909090909
"165","103","2020","Halimeda",2,"RAN",0.00454545454545455
"166","103","2020","Lobophora",11,"RAN",0.025
"167","103","2020","M. capitata",2,"RAN",0.00454545454545455
"168","103","2020","P. damicornis",16,"RAN",0.0363636363636364
"169","103","2020","Peyssonnelia",42,"RAN",0.0954545454545455
"170","103","2020","Turf",190,"RAN",0.431818181818182
"171","103","2022","A. acuminata",63,"RAN",0.147540983606557
"172","103","2022","CCA",115,"RAN",0.269320843091335
"173","103","2022","Caulerpa",3,"RAN",0.00702576112412178
"174","103","2022","Corallimorph",3,"RAN",0.00702576112412178
"175","103","2022","Halimeda",2,"RAN",0.00468384074941452
"176","103","2022","Lobophora",46,"RAN",0.107728337236534
"177","103","2022","M. capitata",5,"RAN",0.0117096018735363
"178","103","2022","P. damicornis",34,"RAN",0.0796252927400468
"179","103","2022","Peyssonnelia",11,"RAN",0.0257611241217799
"180","103","2022","Sediment",1,"RAN",0.00234192037470726
"181","103","2022","Turf",144,"RAN",0.337236533957845
"182","105","1408","CCA",3,"BYSP",0.0115384615384615
"183","105","1408","Corallimorph",140,"BYSP",0.538461538461538
"184","105","1408","Galaxaura",3,"BYSP",0.0115384615384615
"185","105","1408","Limestone",7,"BYSP",0.0269230769230769
"186","105","1408","Peyssonnelia",13,"BYSP",0.05
"187","105","1408","Red_calc_mac",1,"BYSP",0.00384615384615385
"188","105","1408","Sediment",18,"BYSP",0.0692307692307692
"189","105","1408","Turf",75,"BYSP",0.288461538461538
"190","105","1409","Limestone",233,"BYSP",0.970833333333333
"191","105","1409","Peyssonnelia",5,"BYSP",0.0208333333333333
"192","105","1409","Turf",2,"BYSP",0.00833333333333333
"193","105","1509","A. acuminata",3,"BYSP",0.0101010101010101
"194","105","1509","CCA",17,"BYSP",0.0572390572390572
"195","105","1509","Caulerpa",15,"BYSP",0.0505050505050505
"196","105","1509","Corallimorph",4,"BYSP",0.0134680134680135
"197","105","1509","Galaxaura",4,"BYSP",0.0134680134680135
"198","105","1509","Limestone",3,"BYSP",0.0101010101010101
"199","105","1509","Lobophora",1,"BYSP",0.00336700336700337
"200","105","1509","P. damicornis",1,"BYSP",0.00336700336700337
"201","105","1509","Peyssonnelia",1,"BYSP",0.00336700336700337
"202","105","1509","Red_calc_mac",4,"BYSP",0.0134680134680135
"203","105","1509","Sediment",11,"BYSP",0.037037037037037
"204","105","1509","Turf",233,"BYSP",0.784511784511784
"205","105","1510","A. acuminata",4,"BYSP",0.0136518771331058
"206","105","1510","CCA",6,"BYSP",0.0204778156996587
"207","105","1510","Caulerpa",15,"BYSP",0.0511945392491468
"208","105","1510","Galaxaura",1,"BYSP",0.00341296928327645
"209","105","1510","Limestone",1,"BYSP",0.00341296928327645
"210","105","1510","M. capitata",2,"BYSP",0.0068259385665529
"211","105","1510","P. damicornis",3,"BYSP",0.0102389078498294
"212","105","1510","Peyssonnelia",2,"BYSP",0.0068259385665529
"213","105","1510","Red_calc_mac",1,"BYSP",0.00341296928327645
"214","105","1510","Sediment",14,"BYSP",0.0477815699658703
"215","105","1510","Turf",244,"BYSP",0.832764505119454
"216","105","1606","A. acuminata",7,"BYSP",0.023489932885906
"217","105","1606","CCA",2,"BYSP",0.00671140939597315
"218","105","1606","Corallimorph",2,"BYSP",0.00671140939597315
"219","105","1606","Limestone",2,"BYSP",0.00671140939597315
"220","105","1606","M. capitata",3,"BYSP",0.0100671140939597
"221","105","1606","Peyssonnelia",3,"BYSP",0.0100671140939597
"222","105","1606","Red_calc_mac",2,"BYSP",0.00671140939597315
"223","105","1606","Sediment",9,"BYSP",0.0302013422818792
