Number,Name
0,Review
1,Turf
2,Turf_ru
3,Lob_var
4,Peys
5,CCA
6,CCA_ru
7,CCA_si
8,Halim
9,Cyano
10,Neomer
14,Cauler
17,Mocrod
23,Dictsph
24,Dictyo
25,Dictyp
28,Galaxu
38,R_Calc_Mac
39,Red_Fl_Mac
41,Acro_br
42,Acro_ta
43,Acrop
44,M.cap_br
45,M.cap_en
46,M.cap_fol
47,M.flab
48,M.fove
49,M.pat
50,Mont_br
51,Mont_en
52,Mont_fol
53,Monti
56,Pav.clav
57,Pav.duer
58,Pav.exp
60,Pav.var
61,Pav_en
63,Pav_mas
64,Pavona
65,Poc.dam
66,Poc.eye
68,Poc.mea
70,Pocill
83,Por.sup
85,Por_en
87,Por_mas
88,Porites
94,Leptos
97,Turbin
105,Lepta
112,Fungia
120,Hydnop
125,Platyg
137,Goniop
139,Psammo
153,Sed_fi
154,Limest
159,Cmorph
160,Sponge
162,Zoanth
173,Unk_soft
152,Sand
